FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
243,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ee,Biterroot Range,146,M332E,M332
244,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ap,Copper Mountain-Point of Rock,147,M332A,M332
245,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ehh,East Bitterroot Range-Big Hole Divide,150,M332Eh,M332E
246,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ax,Upper Salmon River Canyonlands,154,M332A,M332
247,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fi,Monumental Summit Mountains,158,M332F,M332
248,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Al,Long Valley Foothills,162,M332A,M332
249,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Av,Weiser River Valley and Uplands,163,M332A,M332
250,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ak,Long Valley Basin,166,M332A,M332
251,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Az,Panther Creek Mountain,167,M332A,M332
252,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ar,Big Horn Crags,169,M332A,M332
253,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Egg,Lemhi and Birch Creek Valleys,172,M332Eg,M332E
254,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ai,Bear Valley - Landmark Basin and Uplands,173,M332A,M332
255,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332En,Salmon Front,174,M332E,M332
256,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Ah,Middle Fork Payette Canyon and Stream Cut Lands,179,M332A,M332
257,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dk,Treasure Valley,181,342D,342
258,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dl,Alkaline Foothills,183,342D,342
259,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Eh,Northern Lemhi Range,186,M332E,M332
260,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fg,Yankee Fork-East Salmon River Mountains,187,M332F,M332
261,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332As,Stanley Uplands,188,M332A,M332
262,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Ae,Falls River,261,M331A,M331
263,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dd,Eastern Idaho Plateaus North,266,342D,342
264,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Aq,Danskin Mountains and Valleys,270,M332A,M332
265,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dc,Lost River Valleys,273,342D,342
266,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Cd,Bruneau Plateau,336,342C,342
267,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fc,Pioneer Mountains,279,M332F,M332
268,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Aw,Soldier Mountain Foothills,284,M332A,M332
269,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dm,Mt. Bennett Hills-Camas Prairie,287,342D,342
270,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M332Fa,Pioneer Foothills,298,M332F,M332
271,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342De,Snake River Plains-Lava Fields,313,342D,342
272,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Dh,Craters of the Moon,317,342D,342
273,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Db,Teton Range,321,M331D,M331
274,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Du,Bannock-Malad-Pocatello Ranges,388,M331D,M331
275,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Di,Cache Valley,389,M331D,M331
276,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Dk,Portneuf Range,392,M331D,M331
277,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Ja,South Central Idaho Ranges,393,342J,342
278,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,341Gb,Jarbridge Mountains and Foothills,400,341G,341
279,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Dm,Southwestern Overthrust Belt Mountains,401,M331D,M331
280,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Do,Bear River Front Range,422,M331D,M331
281,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Dn,Northern Wasatch Range,423,M331D,M331
282,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Db,Southern Idaho Terraces,323,342D,342
283,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Cc,Owyhee Tablelands,337,342C,342
284,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Df,Snake River Lava Plains and Buttes,339,342D,342
285,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Cb,Salmon Falls Creek Buttes,340,342C,342
286,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,M331Dd,Caribou-Snake River Range,342,M331D,M331
287,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Jb,Curlew-Bear River-Blue Creek Valleys,452,342J,342
288,Idaho,Mountain,ID,ECUN,SUBS,ECOMAP07,342Ea,West Bear River Divide,455,342E,342
289,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Ca,Owyhee Basalt Plain,253,342C,342
290,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bi,High Desert-Wetlands,198,342B,342
291,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Ec,Stillwater-Northwestern Nevada Ranges,493,341E,341
292,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ag,East Great Basin Ranges and Mountains,498,M341A,M341
293,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M261Et,Carson Range,501,M261E,M261
294,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ah,East Great Basin Valleys,503,M341A,M341
295,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dm,Virginia Range,507,341D,341
296,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341At,Great Salt Lake Desert,476,341A,341
297,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M261Ej,Tahoe-Truckee,479,M261E,M261
298,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Aa,Northern Ruby Mountains,486,M341A,M341
299,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ad,Funeral Mountains-Greenwater Valley,781,322A,322
300,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bb,High Lava Plains,164,342B,342
301,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ac,Amargosa Desert-Pahrump Valley,757,322A,322
302,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ae,Schell Creek and Deep Creek Ranges,563,M341A,M341
303,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dc,Antelope-Mason Valleys and Hills,565,341D,341
304,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Di,West Great Basin Ranges,518,M341D,M341
305,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M261El,Tahoe Valley,521,M261E,M261
306,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Da,Carson Valley-Truckee Meadows,528,341D,341
307,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Db,Pine Nut Mountains,530,341D,341
308,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Dl,West Great Basin Valleys,534,M341D,M341
309,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bj,Steens Mountain-Trout Creek Mountains,334,342B,342
310,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Cd,Bruneau Plateau,336,342C,342
311,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Ja,South Central Idaho Ranges,393,342J,342
312,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Gc,Tuscarora-Independence-Bull Run Mountains,397,341G,341
313,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Gb,Jarbridge Mountains and Foothills,400,341G,341
314,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bc,Honey Lake Basin-Pyramid Lake Basin,405,342B,342
315,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Ga,Green River Basin,429,341G,341
316,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bg,Fox-Selenite-Sahwave-Truckee Ranges,431,342B,342
317,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Cc,Owyhee Tablelands,337,342C,342
318,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bl,Pueblo River-Upper Quinn River Valleys,347,342B,342
319,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bd,Cottonwood-Skedaddle Mountains,367,342B,342
320,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Ea,Northwestern Nevada Basins,580,341E,341
321,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Dj,Toquima-Monitor-Antelope Ranges,585,M341D,M341
322,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fl,Gabbs Range-Ione Valley,591,341F,341
323,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ar,Spring Mountains,801,322A,322
324,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ay,Black Mountains Woodland,809,322A,322
325,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Al,Providence Mountains-Lanfair Valley,908,322A,322
326,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dk,Fort Sage Mountains-Lemmon Valley,459,341D,341
327,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,342Bf,Tule Peak-Pah Rah Range,460,342B,342
328,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Eb,Humbolt Ranges,461,341E,341
329,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ai,East Great Basin Hills,467,M341A,M341
330,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fo,South Central Nevada Ranges,613,341F,341
331,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ac,Mount Moriah Range,617,M341A,M341
332,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dn,Wassuk Range,551,341D,341
333,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dd,Sweetwater Mountains-Pine Grove Hills,572,341D,341
334,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322At,South Virgin River Peak Ridges and Fans,843,322A,322
335,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Aj,Kingston Range-Valley Wells,866,322A,322
336,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Av,Hualapai Mountains Desert Grass-Shrubland,868,322A,322
337,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Am,Piute Valley-Sacramento Mountains,870,322A,322
338,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Az,Hualapai Mountains Coniferous Forest,872,322A,322
339,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341De,Bodie Hills-Excelsior Mountains,606,341D,341
340,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Ax,Sevier Lake-Western Utah Mountains and Valleys,608,341A,341
341,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Df,Mono Valley,626,341D,341
342,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dh,Crowley Flowlands,643,341D,341
343,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,M341Ad,Southern Snake Range,650,M341A,M341
344,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322As,Beaver Dam Wash,795,322A,322
345,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fj,South Central Nevada Valleys,695,341F,341
346,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fm,Clover Delamer-Bull Valley Mountains,702,341F,341
347,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Ac,Needle-Wah Wah-Confusion Mountains,706,341A,341
348,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Aa,Escalante Desert,709,341A,341
349,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fd,Northern Amargosa-Grapevine Mountains,717,341F,341
350,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ab,Death Valley,718,322A,322
351,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Di,Benton-Upper Owens Valleys,658,341D,341
352,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Dj,White Mountains,659,341D,341
353,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fa,Silver Peak Range-Fish Lake Valley,664,341F,341
354,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,341Fg,Sarcobatus Flat,726,341F,341
355,Nevada,Mountain,NV,ECUN,SUBS,ECOMAP07,322Ak,Ivanpah Valley,878,322A,322
356,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Df,High Cascade,246,M261D,M261
357,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ca,Owyhee Basalt Plain,253,342C,342
358,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342He,Powder-Burnt River Valleys,193,342H,342
359,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Bi,High Desert-Wetlands,198,342B,342
360,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ga,Klamath Lake Basins and Juniper Foot,199,M261G,M261
361,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,263Ab,Northern Franciscan Redwood Forest,200,263A,263
362,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ba,Pluvial Lake Basins,207,342B,342
363,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ab,Gasquet Mountain Ultramafics,208,M261A,M261
364,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ad,Siskiyou Mountains,217,M261A,M261
365,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Dh,Medicine Lake Lava Flows,218,M261D,M261
366,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Gc,Fremont Pine-Fir Forest,222,M261G,M261
367,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ae,Klamath River Ridges,227,M261A,M261
368,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ch,Owyhee Mountains,228,342C,342
369,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Da,Old Cascades,232,M261D,M261
370,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Af,Willapa Hills,19,M242A,M242
371,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Ad,Volcanics,26,M242A,M242
372,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Ba,West Cascade Slope Forest,27,M242B,M242
373,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Bb,Western Cascades Highland Forest,32,M242B,M242
374,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,242Ah,Cowlitz-Chehalis Foothills,37,242A,242
375,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Bc,Cascade Crest Forest and Volcanic Peaks,43,M242B,M242
376,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ie,Missoula Flood Slackwater Basins,47,342I,342
377,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,242Ba,Portland - Vancouver Basin,54,242B,242
378,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,242Bd,Valley Foothills,57,242B,242
379,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,242Bb,Prairie Terraces and Floodplains,60,242B,242
380,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Cc,Pine-Oak Foothills,61,M242C,M242
381,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Ag,Mid-Coastal Sedimentary,66,M242A,M242
382,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Cd,Ponderosa Pine-Bitterbrush Woodland,67,M242C,M242
383,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,331Ai,Deep Loess Foothills,68,331A,331
384,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ic,Umatilla Plateau,69,342I,342
385,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ig,Yakima Folds,75,342I,342
386,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gd,Snake River Canyons and Dissected Uplands,86,M332G,M332
387,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gc,Maritime Influenced Forest,87,M332G,M332
388,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Hb,Deschutes River Valley,91,342H,342
389,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Aa,Coastal Lowlands and Uplands,97,M242A,M242
390,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Ha,John Day-Clarno Uplands,101,342H,342
391,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Ge,Wallowa-Seven Devils Mountains,109,M332G,M332
392,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gk,Continental Uplands,112,M332G,M332
393,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Hc,John Day River Valleys,115,342H,342
394,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gf,Canyons and Dissected Highlands,121,M332G,M332
395,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gm,Subalpine Mountains,123,M332G,M332
396,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ax,Umpqua Interior Foothills,124,M261A,M261
397,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gp,Hornet Plateau,129,M332G,M332
398,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Ce,Pumice Plateau Forest,133,M242C,M242
399,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Hd,Semi-Arid Foothills,137,342H,342
400,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gb,John Day-Clarno Highlands,144,M332G,M332
401,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ao,Inland Siskiyous,149,M261A,M261
402,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Bg,Southern Oregon Cascades,151,M242B,M242
403,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gl,Cold Moist Volcanic Ash Forest,152,M332G,M332
404,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M332Gh,Continental Highlands,155,M332G,M332
405,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Be,Southern Oregon Cascade Highlands,156,M242B,M242
406,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ay,Coastal Siskiyous,160,M261A,M261
407,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Bb,High Lava Plains,164,342B,342
408,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Aa,Siskiyou Serpentine,178,M261A,M261
409,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Av,Rogue-Illinois Valleys and Foothills,180,M261A,M261
410,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Dk,Treasure Valley,181,342D,342
411,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Dl,Alkaline Foothills,183,342D,342
412,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Cf,Cold Wet Pumice Plateau Basins,184,M242C,M242
413,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M242Ah,Southern Coastal Mountains,185,M242A,M242
414,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Gf,Warner Mountains,264,M261G,M261
415,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,M261Ge,Goose Lake Basin,265,M261G,M261
416,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Bk,Forested Mountains,269,342B,342
417,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Bj,Steens Mountain-Trout Creek Mountains,334,342B,342
418,Oregon,Pacific,OR,ECUN,SUBS,ECOMAP07,342Bl,Pueblo River-Upper Quinn River Valleys,347,342B,342
419,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Da,North Cascades Lowland Forests,3,M242D,M242
420,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ac,San Juan Islands,4,242A,242
421,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Db,North Cascades Highland Forests,5,M242D,M242
422,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ab,Eastern Puget Riverine Lowlands,6,242A,242
423,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Dd,Pasayten-Sawtooth Highlands,7,M242D,M242
424,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ad,Olympic Rainshadow,8,242A,242
425,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ai,High Olympics,9,M242A,M242
426,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Im,Okanogan Valley,10,342I,342
427,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242De,Okanogan Pine-Fir Hills,11,M242D,M242
428,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ae,Eastern Puget Uplands,12,242A,242
429,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ah,Okanogan Semi-Arid Foothills,13,M333A,M333
430,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ag,Okanogan Highland Dry Forest,14,M333A,M333
431,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Dg,Wenatchee-Chelan Highlands,15,M242D,M242
432,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ae,Columbia Valley and Foothills,16,M333A,M333
433,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ae,Outwash,17,M242A,M242
434,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ad,Western Selkirk Maritime Forest,18,M333A,M333
435,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Af,Willapa Hills,19,M242A,M242
436,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Df,Chelan Tephra Hills,21,M242D,M242
437,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Id,Okanogan Draift Hills,22,342I,342
438,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Dh,Chiwaukum Hills and Lowlands,23,M242D,M242
439,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Aa,Inland Maritime Foothills and Valley,24,M333A,M333
440,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ad,Volcanics,26,M242A,M242
441,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ba,West Cascade Slope Forest,27,M242B,M242
442,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ag,Southern Puget Prairies,28,242A,242
443,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Ia,Missoula Flood Channeled Scablands,29,342I,342
444,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Af,Central Puget Lowlands,31,242A,242
445,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Bb,Western Cascades Highland Forest,32,M242B,M242
446,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ah,Cowlitz-Chehalis Foothills,37,242A,242
447,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ai,Cowlitz-Newaukum Prairie Floodplains,39,242A,242
448,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Cb,Grand Fir Foothills,40,M242C,M242
449,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Ib,Missoula Flood Loess Islands,41,342I,342
450,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ca,Yakima Plateau and Slopes,42,M242C,M242
451,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Bc,Cascade Crest Forest and Volcanic Peaks,43,M242B,M242
452,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ai,Spokane Valley Outwash Plains,45,M333A,M333
453,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Ie,Missoula Flood Slackwater Basins,47,342I,342
454,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M333Ac,Northern Idaho Hills and Low Mountain,50,M333A,M333
455,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Ba,Portland - Vancouver Basin,54,242B,242
456,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,331Af,Palouse Hills,55,331A,331
457,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Bd,Valley Foothills,57,242B,242
458,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Cc,Pine-Oak Foothills,61,M242C,M242
459,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,331Ac,Lower Snake and Clearwater Canyons,65,331A,331
460,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,331Ai,Deep Loess Foothills,68,331A,331
461,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,342Ig,Yakima Folds,75,342I,342
462,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M332Gd,Snake River Canyons and Dissected Uplands,86,M332G,M332
463,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Aa,Coastal Lowlands and Uplands,97,M242A,M242
464,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M332Gf,Canyons and Dissected Highlands,121,M332G,M332
465,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M332Gl,Cold Moist Volcanic Ash Forest,152,M332G,M332
466,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,242Aa,Fraser Lowland,1,242A,242
467,Washington,Pacific,WA,ECUN,SUBS,ECOMAP07,M242Ac,Low Olympics,2,M242A,M242
468,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Cd,East Mesa-Sand Hills,1030,322C,322
469,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ca,Verde Plains Desert Grass-Shrubland,1033,313C,313
470,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313An,Kaibito Plateau High Plains Grassland,845,313A,313
471,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Al,Grand Wash Plains Desert Grass-Shrubland,851,313A,313
472,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Db,Painted Desert Steppe Grassland,960,313D,313
473,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Al,Coconino Plateau Coniferous Forest,962,M313A,M313
474,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Ba,Cadiz-Vidal Valleys,966,322B,322
475,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Cb,Chino High Plains Grassland,969,313C,313
476,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Bf,Gila Bend Plain Desert Shrubland,1009,322B,322
